sequence,method,PSNR,delta_PSNR,SSIM,delta_SSIM,pixels_replaced,evaluated_pixels_replaced,PSNR_wins,PSNR_losses,SSIM_wins,SSIM_losses,valid_m3b_pixels_changed
session_004_scene_2_tool_1,F1_strict_holes,20.62554751448895,0.36149514739836874,0.623888185275859,0.012471984379255563,37327131,403839,199,0,199,0,0
session_004_scene_6_tool_2,F1_strict_holes,21.047398907455367,1.1602507068883234,0.6450327179539743,0.03270941104122149,18899364,1691045,199,0,199,0,0
session_005_scene_7_tool_2,F1_strict_holes,17.76725442205841,0.018646192311042142,0.4402902761296411,0.020131036414572923,2914696,1618702,123,76,199,0,0
session_007_scene_11_tool_3,F1_strict_holes,19.030508458314827,0.47614272515378175,0.3956908487794387,0.0247596157855125,8367258,1400889,199,0,199,0,0
session_004_scene_2_tool_1,F2_boundary1,20.50024548247831,0.23619311538772791,0.6142926246077571,0.0028764237111537083,36993751,304823,195,0,198,1,0
session_004_scene_6_tool_2,F2_boundary1,20.87394965473731,0.9868014541702657,0.6320702373681955,0.019746930455442624,18442559,1441783,199,0,199,0,0
session_005_scene_7_tool_2,F2_boundary1,17.75358822118098,0.004979991433611275,0.427817625616064,0.007658385900995823,2443153,1283161,125,74,199,0,0
session_007_scene_11_tool_3,F2_boundary1,18.907710358126078,0.3533446249650325,0.38111564382236807,0.010184410828441848,7868196,1140478,199,0,199,0,0
session_004_scene_2_tool_1,F2_boundary2,20.429455129345456,0.16540314564153746,0.6134514832616451,0.0020320999562440933,36679940,234111,186,0,194,5,0
session_004_scene_6_tool_2,F2_boundary2,20.744525228912508,0.8573775602944558,0.6299210774838625,0.017594717255788872,18053511,1252888,199,0,198,1,0
session_005_scene_7_tool_2,F2_boundary2,17.7479248909495,-0.0006828979032107441,0.4256030653589335,0.005442442606441944,2049301,1008109,124,75,199,0,0
session_007_scene_11_tool_3,F2_boundary2,18.827448950341,0.2730836868286133,0.37970109456148576,0.008767742607461715,7447600,951974,199,0,199,0,0
